;Region;Sub-region;Country;ISO3 code;M49 code;RE or Non-RE;Group Technology;Technology;Sub-Technology;Producer Type;Year;Electricity Generation (GWh);Electricity Installed Capacity (MW)
19141;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2011;2;1
19142;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2012;8;6
19143;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2013;15;8
19144;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2014;16;8
19145;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2015;15;8
19146;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2016;14;8
19147;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2017;16;8
19148;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2018;108,13;191
19149;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2019;800;440
19150;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2020;1.344;762
19151;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2021;2202,62;1.069
19152;Americas;Latin America and the Caribbean;Argentina;ARG;32;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2022;2.940;1.104
21577;Americas;Latin America and the Caribbean;Brazil;BRA;76;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2001;0,058;0
21578;Americas;Latin America and the Caribbean;Brazil;BRA;76;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2002;0,058;0
21579;Americas;Latin America and the Caribbean;Brazil;BRA;76;Total Renewable;Solar energy;Solar photovoltaic;On-grid Solar photovoltaic;On-grid electricity;2003;0,058;0
