Country;ISO3 code;M49 code;Producer Type;Year;Electricity Generation (GWh);Electricity Installed Capacity (MW)
Chile;CHL;152;On-grid electricity;2014;480;203,191
Mexico;MEX;484;On-grid electricity;2014;221;174,34
Peru;PER;604;On-grid electricity;2014;199,304;96
Ecuador;ECU;218;On-grid electricity;2014;14,71;24,461
Brazil;BRA;76;On-grid electricity;2014;16,082;19,851
Argentina;ARG;32;On-grid electricity;2014;15,749;8,2
Uruguay;URY;858;On-grid electricity;2014;4,858;3,167
Chile;CHL;152;On-grid electricity;2015;1262,462;546,125
Mexico;MEX;484;On-grid electricity;2015;239;295
Peru;PER;604;On-grid electricity;2015;230,255;96
Uruguay;URY;858;On-grid electricity;2015;51,349;63,9
Brazil;BRA;76;On-grid electricity;2015;58,917;42,236
Ecuador;ECU;218;On-grid electricity;2015;33,302;23,591
Argentina;ARG;32;On-grid electricity;2015;14,671;8,2
Chile;CHL;152;On-grid electricity;2016;2643,327;1054,554
Mexico;MEX;484;On-grid electricity;2016;464;606
Brazil;BRA;76;On-grid electricity;2016;85,261;124,026
Peru;PER;604;On-grid electricity;2016;241,009;100
Uruguay;URY;858;On-grid electricity;2016;156,617;87,823
Ecuador;ECU;218;On-grid electricity;2016;35,811;24,461
Argentina;ARG;32;On-grid electricity;2016;14,263;8,2
Chile;CHL;152;On-grid electricity;2017;3926,766;1840,797
Brazil;BRA;76;On-grid electricity;2017;831,813;1199,575
Mexico;MEX;484;On-grid electricity;2017;1084;1072
Peru;PER;604;On-grid electricity;2017;287,2;244,484
Uruguay;URY;858;On-grid electricity;2017;264,795;240,943
Ecuador;ECU;218;On-grid electricity;2017;34,243;24,461
Colombia;COL;170;On-grid electricity;2017;5,388;9,8
Argentina;ARG;32;On-grid electricity;2017;16,417;8,2
Bolivia;BOL;68;On-grid electricity;2017;1,066;
Mexico;MEX;484;On-grid electricity;2018;1363;2753
Brazil;BRA;76;On-grid electricity;2018;3461,435;2445,273
Chile;CHL;152;On-grid electricity;2018;5241,808;2315,08
Peru;PER;604;On-grid electricity;2018;745,401;284,484
Uruguay;URY;858;On-grid electricity;2018;416,743;246,103
Argentina;ARG;32;On-grid electricity;2018;108,13;190,63
Ecuador;ECU;218;On-grid electricity;2018;34,768;24,461
Colombia;COL;170;On-grid electricity;2018;11,999;9,8
Bolivia;BOL;68;On-grid electricity;2018;122,057;
Mexico;MEX;484;On-grid electricity;2019;7057;6227,59
Brazil;BRA;76;On-grid electricity;2019;6654,579;4691,248
Chile;CHL;152;On-grid electricity;2019;6464,991;2715,202
Argentina;ARG;32;On-grid electricity;2019;799,698;439,909
Peru;PER;604;On-grid electricity;2019;763,01;289,025
Uruguay;URY;858;On-grid electricity;2019;422,491;249,676
Ecuador;ECU;218;On-grid electricity;2019;33,125;24,461
Colombia;COL;170;On-grid electricity;2019;132,805;18,45
Bolivia;BOL;68;On-grid electricity;2019;181,196;
Brazil;BRA;76;On-grid electricity;2020;10748,341;8444,654
Mexico;MEX;484;On-grid electricity;2020;9115;7138,08
Chile;CHL;152;On-grid electricity;2020;8056,179;3301,993
Argentina;ARG;32;On-grid electricity;2020;1344,359;762,105
Peru;PER;604;On-grid electricity;2020;778,128;289,025
Uruguay;URY;858;On-grid electricity;2020;462,664;253,575
Bolivia;BOL;68;On-grid electricity;2020;244,021;115,07
Colombia;COL;170;On-grid electricity;2020;197,677;70,892
Ecuador;ECU;218;On-grid electricity;2020;33,816;24,461
Brazil;BRA;76;On-grid electricity;2021;16752,281;14492,202
Mexico;MEX;484;On-grid electricity;2021;13010;8901
Chile;CHL;152;On-grid electricity;2021;10544,634;4515,391
Argentina;ARG;32;On-grid electricity;2021;2202,62;1069,336
Peru;PER;604;On-grid electricity;2021;801,62;286,54
Uruguay;URY;858;On-grid electricity;2021;486,091;260,981
Bolivia;BOL;68;On-grid electricity;2021;345,961;164,96
Colombia;COL;170;On-grid electricity;2021;344,31;158,713
Ecuador;ECU;218;On-grid electricity;2021;33,445;24,461
Venezuela;VEN;862;On-grid electricity;2021;1,31;1,5
Brazil;BRA;76;On-grid electricity;2022;30126,462;25513,231
Mexico;MEX;484;On-grid electricity;2022;20542;9330,24
Chile;CHL;152;On-grid electricity;2022;15602,691;6578,122
Argentina;ARG;32;On-grid electricity;2022;2940,291;1104,022
Colombia;COL;170;On-grid electricity;2022;606,215;442,81
Peru;PER;604;On-grid electricity;2022;820,911;286,5
Uruguay;URY;858;On-grid electricity;2022;498,85;268,064
Bolivia;BOL;68;On-grid electricity;2022;347,244;165,351
Ecuador;ECU;218;On-grid electricity;2022;33,276;24,461
Venezuela;VEN;862;On-grid electricity;2022;1,14;1,5
Brazil;BRA;76;On-grid electricity;2023;;37441,964
Mexico;MEX;484;On-grid electricity;2023;;10884,22
Chile;CHL;152;On-grid electricity;2023;;8789,509
Argentina;ARG;32;On-grid electricity;2023;;1396,929
Colombia;COL;170;On-grid electricity;2023;;665,186
Peru;PER;604;On-grid electricity;2023;;286,5
Uruguay;URY;858;On-grid electricity;2023;;284,383
Bolivia;BOL;68;On-grid electricity;2023;;166,655
Ecuador;ECU;218;On-grid electricity;2023;;25,091
Venezuela;VEN;862;On-grid electricity;2023;;2,035
